,CISS_EA_GDPW,CLIFS_RO,DFM
179,0.0804,0.0808,100.0150537
180,0.0865,0.0525,100.2330253
181,0.0637,0.0867,101.5927466
182,0.0624,0.183,101.5513328
183,0.2624,0.3666,98.19492241
184,0.252,0.2485,86.72861609
185,0.1805,0.1877,90.31730656
186,0.1346,0.0903,94.44682029
187,0.1045,0.0981,96.48024723
188,0.0975,0.1252,97.5669907
189,0.071,0.0937,98.92430939
190,0.0531,0.0613,99.34480168
191,0.0417,0.0747,99.04945679
192,0.0497,0.0481,99.41807494
193,0.0414,0.0621,100.6416106
194,0.0418,0.0662,100.9091013
195,0.0401,0.0487,101.3783016
196,0.0275,0.0486,102.4072799
197,0.031,0.0464,102.3691044
198,0.0312,0.0554,102.9946973
199,0.0362,0.098,103.162325
200,0.0308,0.0774,103.8532728
201,0.0342,0.0537,103.6825285
202,0.0565,0.0879,103.6966399
203,0.1166,0.0692,104.1118068
204,0.1263,0.1137,105.1092341
205,0.1006,0.0697,106.4182865
206,0.1992,0.0852,106.6288755
207,0.2884,0.1471,106.839389
208,0.3069,0.1221,107.31789
209,0.3364,0.1454,107.750204
210,0.4015,0.1227,107.9076063
211,0.4416,0.1044,108.5191671
212,0.4364,0.1573,108.6571207
213,0.47,0.145,108.6631727
214,0.4713,0.1723,108.7437855
215,0.4342,0.2281,109.0996097
216,0.4402,0.1864,108.9409428
217,0.3928,0.1698,109.7278997
218,0.3304,0.1645,109.9309548
219,0.407,0.1334,110.4234654
220,0.3423,0.1733,110.553487
221,0.3024,0.1306,111.3324805
222,0.3236,0.1861,111.1134946
223,0.3147,0.2318,111.4463699
224,0.3012,0.1336,111.3643571
225,0.2507,0.1156,111.5496004
226,0.2171,0.0856,111.9952609
227,0.1909,0.0833,111.9036481
228,0.1483,0.0539,113.1763018
229,0.1314,0.0862,112.3450234
230,0.1227,0.0398,112.7976464
231,0.0851,0.0803,113.4714381
232,0.1003,0.0947,113.9111723
233,0.0743,0.0862,113.8108618
234,0.0822,0.073,113.5402571
235,0.0809,0.0648,113.1123472
236,0.0728,0.0686,113.3477636
237,0.0852,0.1201,113.5797757
238,0.1024,0.0826,113.7270669
239,0.0969,0.1889,114.2135778
240,0.0723,0.21,113.7531868
241,0.0698,0.1533,114.3881254
242,0.0706,0.1535,114.6700768
